Symbol,Interval,KLineStartTime,KLineEndTime,FoundTime,MAPeriod,CurrentMA,MA10MinAgo,MA30MinAgo,MAHourAgo,MA4HoursAgo,MADayAgo,ConsistentUp,AboveMAKLines
ctsi,15m,2025-04-17T17:45:00+08:00,2025-04-17T17:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.05309753,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
cvx,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,2.31441975,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
d,15m,2025-04-17T17:45:00+08:00,2025-04-17T17:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.03780420,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
data,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.01677852,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
dent,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.00068956,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
dexe,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,15.17051852,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
dusk,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.07914444,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
dydx,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.59338395,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
ens,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,14.45666667,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
enj,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.08092716,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
epic,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,1.55177778,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
etc,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,16.01703704,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
eth,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,1592.76592593,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
fet,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.60050617,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
floki,15m,2025-04-17T17:45:00+08:00,2025-04-17T17:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.00005406,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
gala,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.01551765,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
glmr,15m,2025-04-17T17:45:00+08:00,2025-04-17T17:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.06338148,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
gmx,15m,2025-04-17T17:45:00+08:00,2025-04-17T17:59:59+08:00,2025-04-21T12:52:05+08:00,81,16.02604938,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
grt,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.08274444,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
gtc,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.30207407,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
ilv,15m,2025-04-17T17:45:00+08:00,2025-04-17T17:59:59+08:00,2025-04-21T12:52:05+08:00,81,11.16617284,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
icp,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,4.86648148,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
inj,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,8.44691358,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
iq,15m,2025-04-17T17:45:00+08:00,2025-04-17T17:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.00405658,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
joe,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.17013827,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
iost,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.00381369,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
kmd,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.13524074,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
lazio,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.95750617,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
ldo,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.71732099,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
link,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,13.25691358,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
lqty,15m,2025-04-20T21:30:00+08:00,2025-04-20T21:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.59238272,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
