Symbol,Interval,KLineTime,FoundTime,MAPeriod,CurrentMA,MA10MinAgo,MA30MinAgo,MAHourAgo,MA4HoursAgo,MADayAgo,ConsistentUp
gtc,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.23517284,0.23514815,0.23513580,0.23511111,0.23509877,0.00000000,true
hook,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.11191975,0.11191852,0.11189877,0.11188025,0.11175556,0.00000000,true
ilv,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,11.16617284,11.16506173,11.16246914,11.15987654,11.13530864,0.00000000,true
io,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.56848148,0.56834568,0.56811111,0.56776543,0.56654321,0.00000000,true
iq,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.00405658,0.00404662,0.00403493,0.00401227,0.00389480,0.00000000,true
jst,15m,2025-04-20T21:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.03073333,0.03073025,0.03072753,0.03072123,0.03070852,0.00000000,true
kaito,15m,2025-04-20T21:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.75661852,0.75633457,0.75598025,0.75517284,0.75375556,0.00000000,true
knc,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.32227284,0.32213333,0.32196667,0.32165432,0.32006543,0.00000000,true
kava,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.42775556,0.42767284,0.42755802,0.42731235,0.42577160,0.00000000,true
ldo,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.68780247,0.68751852,0.68714815,0.68643210,0.68213580,0.00000000,true
ksm,15m,2025-04-20T21:30:00+08:00,2025-04-20T21:56:06+08:00,81,13.46259259,13.46185185,13.46012346,13.45728395,13.42222222,0.00000000,true
loka,15m,2025-04-20T21:30:00+08:00,2025-04-20T21:56:06+08:00,81,0.07198642,0.07188025,0.07178148,0.07158148,0.07048395,0.00000000,true
lrc,15m,2025-04-20T21:30:00+08:00,2025-04-20T21:56:06+08:00,81,0.09362099,0.09361481,0.09361111,0.09360247,0.09347654,0.00000000,true
lsk,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.48765432,0.48746914,0.48720988,0.48664198,0.48306173,0.00000000,true
lqty,15m,2025-04-20T21:30:00+08:00,2025-04-20T21:56:06+08:00,81,0.59238272,0.59179012,0.59114815,0.59003704,0.58462963,0.00000000,true
luna,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.15457160,0.15456667,0.15455185,0.15454074,0.15443951,0.00000000,true
mdt,15m,2025-04-20T21:30:00+08:00,2025-04-20T21:56:06+08:00,81,0.02799321,0.02799198,0.02799173,0.02799136,0.02799012,0.00000000,true
meme,15m,2025-03-12T08:00:00+08:00,2025-04-20T21:56:06+08:00,81,0.00243577,0.00243435,0.00243314,0.00243088,0.00240186,0.00000000,true
mkr,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,1349.65432099,1349.55555556,1349.33333333,1349.00000000,1346.19753086,0.00000000,true
movr,15m,2025-04-20T21:45:00+08:00,2025-04-20T21:56:06+08:00,81,5.32293827,5.32134568,5.31906173,5.31437037,5.28761728,0.00000000,true
neiro,15m,2025-04-20T21:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.00018420,0.00018417,0.00018412,0.00018405,0.00018365,0.00000000,true
mubarak,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.02464321,0.02462716,0.02460864,0.02457531,0.02440247,0.00000000,true
nfp,15m,2025-04-20T21:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.06629259,0.06627284,0.06625185,0.06620247,0.06587654,0.00000000,true
nil,15m,2025-04-20T21:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.37030864,0.37022222,0.37012346,0.36990123,0.36904938,0.00000000,true
