Symbol,Interval,KLineStartTime,KLineEndTime,FoundTime,MAPeriod,CurrentMA,MA10MinAgo,MA30MinAgo,MAHourAgo,MA4HoursAgo,MADayAgo,ConsistentUp,AboveMAKLines
acx,15m,2025-06-30T14:30:00+08:00,2025-06-30T14:44:59+08:00,2025-07-01T09:46:56+08:00,81,0.13700000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
alpine,15m,2025-04-21T15:15:00+08:00,2025-04-21T15:29:59+08:00,2025-07-01T09:46:56+08:00,81,0.74127160,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
arkm,15m,2025-04-25T14:30:00+08:00,2025-04-25T14:44:59+08:00,2025-07-01T09:46:56+08:00,81,0.55444444,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
axs,15m,2025-04-25T14:30:00+08:00,2025-04-25T14:44:59+08:00,2025-07-01T09:46:56+08:00,81,2.56120988,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
axl,15m,2025-04-25T14:30:00+08:00,2025-04-25T14:44:59+08:00,2025-07-01T09:46:56+08:00,81,0.34251728,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
bake,15m,2025-04-25T14:30:00+08:00,2025-04-25T14:44:59+08:00,2025-07-01T09:46:56+08:00,81,0.13401358,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
banana,15m,2025-04-21T15:15:00+08:00,2025-04-21T15:29:59+08:00,2025-07-01T09:46:56+08:00,81,17.15790123,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
band,15m,2025-04-25T14:30:00+08:00,2025-04-25T14:44:59+08:00,2025-07-01T09:46:56+08:00,81,0.80443210,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
bar,15m,2025-04-21T15:15:00+08:00,2025-04-21T15:29:59+08:00,2025-07-01T09:46:56+08:00,81,1.64698765,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
bat,15m,2025-04-21T15:15:00+08:00,2025-04-21T15:29:59+08:00,2025-07-01T09:46:56+08:00,81,0.13313704,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
bttc,15m,2025-04-25T14:30:00+08:00,2025-04-25T14:44:59+08:00,2025-07-01T09:46:56+08:00,81,0.00000065,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
chess,15m,2025-04-17T17:45:00+08:00,2025-04-17T17:59:59+08:00,2025-07-01T09:46:56+08:00,81,0.04969753,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
chr,15m,2025-04-17T17:45:00+08:00,2025-04-17T17:59:59+08:00,2025-07-01T09:46:56+08:00,81,0.08147654,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
chz,15m,2025-04-21T15:15:00+08:00,2025-04-21T15:29:59+08:00,2025-07-01T09:46:56+08:00,81,0.03761272,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
ckb,15m,2025-06-30T14:15:00+08:00,2025-06-30T14:29:59+08:00,2025-07-01T09:46:56+08:00,81,0.00345899,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
cos,15m,2025-04-21T15:15:00+08:00,2025-04-21T15:29:59+08:00,2025-07-01T09:46:56+08:00,81,0.00322922,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
ctk,15m,2025-04-25T14:30:00+08:00,2025-04-25T14:44:59+08:00,2025-07-01T09:46:56+08:00,81,0.35108519,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
cvx,15m,2025-04-21T15:15:00+08:00,2025-04-21T15:29:59+08:00,2025-07-01T09:46:56+08:00,81,2.37486420,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
d,15m,2025-04-17T17:45:00+08:00,2025-04-17T17:59:59+08:00,2025-07-01T09:46:56+08:00,81,0.03780420,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
doge,15m,2025-04-21T15:15:00+08:00,2025-04-21T15:29:59+08:00,2025-07-01T09:46:56+08:00,81,0.15664062,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
ens,15m,2025-04-25T14:30:00+08:00,2025-04-25T14:44:59+08:00,2025-07-01T09:46:56+08:00,81,17.22555556,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
epic,15m,2025-05-19T17:45:00+08:00,2025-05-19T17:59:59+08:00,2025-07-01T09:46:56+08:00,81,1.51564198,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
floki,15m,2025-04-17T17:45:00+08:00,2025-04-17T17:59:59+08:00,2025-07-01T09:46:56+08:00,81,0.00005406,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
fis,15m,2025-06-30T14:15:00+08:00,2025-06-30T14:29:59+08:00,2025-07-01T09:46:56+08:00,81,0.08419136,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
flm,15m,2025-04-25T14:30:00+08:00,2025-04-25T14:44:59+08:00,2025-07-01T09:46:56+08:00,81,0.02386790,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
fxs,15m,2025-05-15T10:30:00+08:00,2025-05-15T10:44:59+08:00,2025-07-01T09:46:56+08:00,81,3.10634568,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
g,15m,2025-04-21T15:15:00+08:00,2025-04-21T15:29:59+08:00,2025-07-01T09:46:56+08:00,81,0.01420074,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
gala,15m,2025-06-30T14:00:00+08:00,2025-06-30T14:14:59+08:00,2025-07-01T09:46:56+08:00,81,0.01433877,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
glmr,15m,2025-04-17T17:45:00+08:00,2025-04-17T17:59:59+08:00,2025-07-01T09:46:56+08:00,81,0.06338148,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
ilv,15m,2025-04-17T17:45:00+08:00,2025-04-17T17:59:59+08:00,2025-07-01T09:46:56+08:00,81,11.16617284,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
inj,15m,2025-04-25T14:30:00+08:00,2025-04-25T14:44:59+08:00,2025-07-01T09:46:56+08:00,81,9.94950617,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
iost,15m,2025-04-25T14:30:00+08:00,2025-04-25T14:44:59+08:00,2025-07-01T09:46:56+08:00,81,0.00397132,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
joe,15m,2025-04-21T15:15:00+08:00,2025-04-21T15:29:59+08:00,2025-07-01T09:46:56+08:00,81,0.17089753,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
kernel,15m,2025-06-30T14:15:00+08:00,2025-06-30T14:29:59+08:00,2025-07-01T09:46:56+08:00,81,0.11032099,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
ldo,15m,2025-04-21T15:15:00+08:00,2025-04-21T15:29:59+08:00,2025-07-01T09:46:56+08:00,81,0.72149383,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
meme,15m,2025-03-12T08:00:00+08:00,2025-03-12T08:14:59+08:00,2025-07-01T09:46:56+08:00,81,0.00243577,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
nil,15m,2025-04-25T14:30:00+08:00,2025-04-25T14:44:59+08:00,2025-07-01T09:46:56+08:00,81,0.38174074,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
nfp,15m,2025-04-25T14:30:00+08:00,2025-04-25T14:44:59+08:00,2025-07-01T09:46:56+08:00,81,0.07767037,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
nkn,15m,2025-04-25T14:30:00+08:00,2025-04-25T14:44:59+08:00,2025-07-01T09:46:56+08:00,81,0.03863457,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
ntrn,15m,2025-04-21T15:15:00+08:00,2025-04-21T15:29:59+08:00,2025-07-01T09:46:56+08:00,81,0.13085432,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
omni,15m,2025-06-30T14:15:00+08:00,2025-06-30T14:29:59+08:00,2025-07-01T09:46:56+08:00,81,1.58000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
op,15m,2025-04-21T15:15:00+08:00,2025-04-21T15:29:59+08:00,2025-07-01T09:46:56+08:00,81,0.71539506,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
ordi,15m,2025-04-25T14:30:00+08:00,2025-04-25T14:44:59+08:00,2025-07-01T09:46:56+08:00,81,7.81962963,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
oxt,15m,2025-04-21T15:15:00+08:00,2025-04-21T15:29:59+08:00,2025-07-01T09:46:56+08:00,81,0.06944815,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
pendle,15m,2025-04-21T15:15:00+08:00,2025-04-21T15:29:59+08:00,2025-07-01T09:46:56+08:00,81,3.15420988,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
pengu,15m,2025-06-30T14:15:00+08:00,2025-06-30T14:29:59+08:00,2025-07-01T09:46:56+08:00,81,0.01398385,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
pyth,15m,2025-06-30T14:15:00+08:00,2025-06-30T14:29:59+08:00,2025-07-01T09:46:56+08:00,81,0.10338395,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
qtum,15m,2025-06-30T14:15:00+08:00,2025-06-30T14:29:59+08:00,2025-07-01T09:46:56+08:00,81,1.98416049,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
rare,15m,2025-04-21T15:15:00+08:00,2025-04-21T15:29:59+08:00,2025-07-01T09:46:56+08:00,81,0.05823580,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
render,15m,2025-06-30T14:15:00+08:00,2025-06-30T14:29:59+08:00,2025-07-01T09:46:56+08:00,81,3.28904938,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
rune,15m,2025-06-30T14:15:00+08:00,2025-06-30T14:29:59+08:00,2025-07-01T09:46:56+08:00,81,1.36782716,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
rvn,15m,2025-04-25T14:30:00+08:00,2025-04-25T14:44:59+08:00,2025-07-01T09:46:56+08:00,81,0.01204469,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
sand,15m,2025-04-21T15:15:00+08:00,2025-04-21T15:29:59+08:00,2025-07-01T09:46:56+08:00,81,0.27081358,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
saga,15m,2025-04-21T15:15:00+08:00,2025-04-21T15:29:59+08:00,2025-07-01T09:46:56+08:00,81,0.22844198,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
scrt,15m,2025-04-21T15:15:00+08:00,2025-04-21T15:29:59+08:00,2025-07-01T09:46:56+08:00,81,0.20386914,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
snt,15m,2025-04-16T10:45:00+08:00,2025-04-16T10:59:59+08:00,2025-07-01T09:46:56+08:00,81,0.02159444,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
